"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"358","357","1.4542660449","100.4737290640","737.4894918100","0.800","0.200"
"359","358","1.4210072558","12.6588942329","43.5893414541","0.800","0.200"
"360","359","1.4542360156","118.5505825210","1054.5006666400","0.800","0.200"
"361","360","1.4542648242","16.4174415272","28.4654038489","0.800","0.200"
"362","361","1.4542304003","24.9620122423","129.7698206280","0.800","0.200"
"363","362","1.4542199023","8.6185511371","28.4654187103","0.800","0.200"
"364","363","1.4542675097","7.9177446646","28.8569354079","0.800","0.200"
"365","364","1.4542501757","31.5218186121","154.4171808260","0.800","0.200"
"366","365","1.4542658007","112.2055495210","689.3550652690","0.800","0.200"
"367","366","1.4542411425","29.9157588382","230.8711697430","0.800","0.200"
"368","367","1.4542640918","16.0403401121","67.2504755625","0.800","0.200"
"369","368","1.4210380175","91.3946178127","757.2935288830","0.800","0.200"
"370","369","1.4542638476","10.7733929824","24.4602748693","0.800","0.200"
"371","370","1.4541876757","11.0580154981","34.9601577280","0.800","0.200"
"372","371","1.4539117968","16.3322700985","29.4600432630","0.800","0.200"
"373","372","1.4210814746","22.3653355211","108.4723169900","0.800","0.200"
"374","373","1.4542601855","84.3696876462","716.3706298990","0.800","0.200"
"375","374","1.4542560351","11.4925079186","23.4653904329","0.800","0.200"
"376","375","1.4542269824","31.2400930052","246.6164669280","0.800","0.200"
"377","376","1.4542623828","54.5413967371","422.5179429910","0.800","0.200"
"378","377","1.4542638476","178.8270491290","1146.2691289600","0.800","0.200"
"379","378","1.4542636035","113.4455467050","581.3840492020","0.800","0.200"
"380","379","1.4542662890","41.7186999096","300.9833604940","0.800","0.200"
"381","380","1.4542650683","73.7325934143","471.9136186790","0.800","0.200"
"382","381","1.4542645800","85.4473640165","471.9136435810","0.800","0.200"
"383","382","1.4542575000","124.3713570260","611.1632004310","0.800","0.200"
"384","383","1.4542565234","60.0812471661","382.6160981010","0.800","0.200"
"385","384","1.4210433886","7.4278424471","35.8553853204","0.800","0.200"
"386","385","1.4542218554","6.9687031701","28.4653976320","0.800","0.200"
"387","386","1.4542601855","6.6507155192","33.4591080365","0.800","0.200"
"388","387","1.4542550586","60.1184209433","509.6538997040","0.800","0.200"
"389","388","1.4542499316","64.2441135807","519.3633199350","0.800","0.200"
"390","389","1.4542623828","20.3505209052","34.9562141952","0.800","0.200"
"391","390","1.4210621875","88.9750481439","415.9720419100","0.800","0.200"
"392","391","1.4542665332","51.3930211593","301.9544770480","0.800","0.200"
"393","392","1.4542645800","45.4979620956","313.1668477000","0.800","0.200"
"394","393","1.4542609179","12.6945149925","26.4590667717","0.800","0.200"
"395","394","1.4542533496","8.9184793912","23.4534236705","0.800","0.200"
"396","395","1.4542645800","95.5166965852","455.2268941530","0.800","0.200"
"397","396","1.4542338183","33.6434111384","169.4963307480","0.800","0.200"
"398","397","1.4542975390","17.5348694452","35.1359660567","0.800","0.200"
"399","398","1.4542272265","10.1678940617","23.9583225636","0.800","0.200"
"400","399","1.4542640918","54.0954153959","456.4054102130","0.800","0.200"
"401","400","1.4542596972","22.4874097111","156.1354953120","0.800","0.200"
"402","401","1.4542596972","13.1998331092","26.7373764818","0.800","0.200"
"403","402","1.4542611621","104.9475507570","494.8702409490","0.800","0.200"
"404","403","1.4542242968","65.6675530175","462.0378562340","0.800","0.200"
"405","404","1.4542816699","82.1879870746","655.5765226850","0.800","0.200"
"406","405","1.4542609179","15.3565678783","34.9623096316","0.800","0.200"
"407","406","1.4542575000","26.0596832628","124.1296220180","0.800","0.200"
"408","407","1.4542523730","124.3951208620","603.4499385940","0.800","0.200"
"409","408","1.4542352832","88.4801332397","762.3677331330","0.800","0.200"
"410","409","1.4542628711","14.9180169994","28.3714776768","0.800","0.200"
"411","410","1.4542675097","104.6094728690","778.2485867160","0.800","0.200"
"412","411","1.4542511523","17.6321456015","34.9321367438","0.800","0.200"
"413","412","1.4542557910","297.1697145300","2852.7020383100","0.800","0.200"
"414","413","1.4542523730","44.4722659246","341.0727602040","0.800","0.200"
"415","414","1.4542623828","11.7809094107","52.5059604982","0.800","0.200"
"416","415","1.4541954882","5.0766124757","24.4654739352","0.800","0.200"
"417","416","1.4542433398","14.8655656386","112.5934261200","0.800","0.200"
"418","417","1.4211351855","139.7769804040","693.6377953540","0.800","0.200"
"419","418","1.4542455371","15.0915285342","84.2557179664","0.800","0.200"
"420","419","1.4542655566","186.1325112570","1119.5879426900","0.800","0.200"
"421","420","1.4542579882","218.9025733470","2161.0626781100","0.800","0.200"
"422","421","1.4542626269","18.0386162115","139.5747256660","0.800","0.200"
"423","422","1.4542589648","34.4116664589","295.8129918190","0.800","0.200"
"424","423","1.4542626269","5.6600277492","18.8922763037","0.800","0.200"
"425","424","1.4542655566","9.6594120386","25.9654134620","0.800","0.200"
"426","425","1.4211010058","11.8911937656","34.9320940678","0.800","0.200"
"427","426","1.4542579882","47.4034324014","261.6467091370","0.800","0.200"
"428","427","1.4210746386","89.8048163574","450.3476723300","0.800","0.200"
"429","428","1.4542628711","16.5812461202","70.0019498566","0.800","0.200"
"430","429","1.4542662890","8.4177253639","29.9938184861","0.800","0.200"
"431","430","1.4542545703","93.7904790277","891.3303640690","0.800","0.200"
"432","431","1.4542631152","67.7592546341","544.6994771640","0.800","0.200"
"433","432","1.4542506640","12.7618357027","74.6652033092","0.800","0.200"
"434","433","1.4542638476","65.8104279354","478.5719467170","0.800","0.200"
"435","434","1.4542628711","27.2209810286","136.8716504350","0.800","0.200"
"436","435","1.3391598642","13.1612289257","73.1173847343","0.800","0.200"
"437","436","1.3060546395","10.7147371380","49.1634042244","0.800","0.200"
"438","437","1.3391610848","13.5906509064","47.5872489045","0.800","0.200"
"439","438","1.1884290746","71.0115272190","435.7534950100","0.800","0.200"
