gravity,4059.5295184186607
sub_steps,2
fps,8273
material_friction,83.39600266945291
material_elasticity,0.13089383489288242
mass,2175.78301698475
velocity_max,672.3882337130283
damping,0.37953928594756614
rotation_damping,0.3736994873737789
collision_bounds_type,CYLINDER
torque_z,51.346592256181665
fitness,131.292578661

gravity,2576.9573965065283
sub_steps,4
fps,1788
material_friction,80.3358868536695
material_elasticity,0.1552323556743902
mass,6512.498603840898
velocity_max,11.933510589866248
damping,0.8733090002286427
rotation_damping,0.17026472294961947
collision_bounds_type,CONVEX_HULL
torque_z,22.77101584856916
fitness,34.4959610053

gravity,6894.672549033491
sub_steps,2
fps,1569
material_friction,9.79733829891476
material_elasticity,0.6552845739854286
mass,2802.2540237244493
velocity_max,28.98625866425375
damping,0.2323276380639946
rotation_damping,0.392514374161667
collision_bounds_type,CONVEX_HULL
torque_z,16.141578579203774
fitness,92.4387280549

gravity,7147.738965534082
sub_steps,2
fps,6252
material_friction,84.51002355903732
material_elasticity,0.6075848016550652
mass,7249.292514032766
velocity_max,205.08558947285826
damping,0.969052163828519
rotation_damping,0.9330424931599244
collision_bounds_type,CYLINDER
torque_z,99.1203964407097
fitness,78.8412117132

gravity,8660.541600643126
sub_steps,2
fps,4315
material_friction,23.37198360435365
material_elasticity,0.025747105531851444
mass,1182.2017749184693
velocity_max,646.2661840446647
damping,0.9258448269954274
rotation_damping,0.9199648037748647
collision_bounds_type,CYLINDER
torque_z,60.02623270432273
fitness,98.4559841716

gravity,3926.412804257232
sub_steps,4
fps,2568
material_friction,63.27497262316724
material_elasticity,0.11105301813116908
mass,7799.488299549261
velocity_max,83.19847089730392
damping,0.6701054922513147
rotation_damping,0.15671465107036875
collision_bounds_type,CYLINDER
torque_z,39.72747202922913
fitness,99.8150472837

gravity,7036.32181409001
sub_steps,1
fps,6209
material_friction,98.31600667173555
material_elasticity,0.321729576251107
mass,9240.004876250296
velocity_max,385.5565118454069
damping,0.17666515025256702
rotation_damping,0.6432171269208441
collision_bounds_type,CONVEX_HULL
torque_z,45.445232502600554
fitness,35.2472405722

gravity,9976.217903608433
sub_steps,2
fps,7405
material_friction,0.18306746795127005
material_elasticity,0.01348959401838734
mass,9793.118232928195
velocity_max,870.486676211419
damping,0.7022332867426934
rotation_damping,0.8287665329602392
collision_bounds_type,CYLINDER
torque_z,85.0681390487904
