"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"1","0","10.7103535098","47.2739505454","112.8160912380","0.500","0.500"
"2","1","10.7120397891","27.3834178393","34.9445775151","0.500","0.500"
"3","2","10.7096372012","178.7705939800","1533.3952324700","0.502","0.498"
"4","3","10.7093351992","24.0430132724","35.0033148362","0.494","0.506"
"5","4","10.7119284609","26.0081439162","35.0179951803","0.498","0.502"
"6","5","10.7120273379","56.7057228124","194.3840923680","0.501","0.499"
"7","6","10.7080649356","52.9675612023","206.7794267590","0.494","0.506"
"8","7","10.7112414492","61.7768312061","370.9121548110","0.501","0.499"
"9","8","10.7098288516","145.2698963590","811.4309678580","0.509","0.491"
"10","9","10.7134848574","150.6375882170","758.9452373360","0.516","0.484"
"11","10","10.7099309024","572.0405133580","5493.0498417200","0.509","0.491"
"12","11","8.5880394775","105.1968742350","726.6679591130","0.517","0.483"
"13","12","8.5880597412","74.8178758258","510.0824069020","0.524","0.476"
"14","13","8.5880944092","15.7098856808","24.9609151386","0.532","0.468"
"15","14","8.5880406982","17.7795276157","25.4615837017","0.527","0.473"
"16","15","8.5880546142","18.3807456819","21.2878889037","0.531","0.469"
"17","16","8.5880363037","18.6291763002","30.4596150558","0.532","0.468"
"18","17","8.5880546142","106.2793165030","868.8548392230","0.537","0.463"
"19","18","8.5880231201","46.9509775389","280.5280036800","0.544","0.456"
"20","19","8.5548378174","18.5376973704","33.2153199178","0.552","0.448"
"21","20","8.5880363037","21.9120096614","52.7293548953","0.557","0.443"
"22","21","5.5545752218","21.5153429275","37.9645698109","0.563","0.437"
"23","22","5.5535674093","38.3164867805","185.2173542280","0.567","0.433"
"24","23","5.5559863546","54.2877042925","196.9356085920","0.574","0.426"
"25","24","5.5551550558","57.0994999663","407.6029868670","0.568","0.432"
"26","25","5.5565661886","22.5939857279","34.9965000382","0.576","0.424"
"27","26","5.5585134542","25.1408400235","35.0090983629","0.579","0.421"
"28","27","5.5568435323","66.2347528406","517.6968092550","0.576","0.424"
"29","28","5.5575761983","127.0348314990","577.5237997630","0.584","0.416"
"30","29","5.5563821065","125.7913113480","732.1806270200","0.591","0.409"
"31","30","5.5561516378","45.8961685176","247.9598478340","0.599","0.401"
"32","31","5.5440742452","34.7950065434","154.3694593500","0.591","0.409"
"33","32","5.5569363057","34.1519257910","143.1003533240","0.598","0.402"
"34","33","5.5572973897","17.4569042464","34.4593963642","0.591","0.409"
"35","34","5.5573865011","68.6684526909","305.4001698690","0.596","0.404"
"36","35","5.5544765890","77.1348883422","522.7908082610","0.603","0.397"
"37","36","5.5569006612","16.8275724793","21.9634319282","0.611","0.389"
"38","37","4.4009146204","62.2646520710","473.7157790470","0.613","0.387"
"39","38","4.4013789758","90.3503997186","671.3888495350","0.621","0.379"
"40","39","4.4008308801","36.6011758616","193.3712289840","0.628","0.372"
"41","40","4.4002205286","65.1242334525","285.3380970510","0.636","0.364"
"42","41","4.3967202844","14.7802341457","26.9626728897","0.642","0.358"
"43","42","4.4003770227","21.3071047056","68.6328096231","0.647","0.353"
