"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"2023","872","19.9693357263","36.5250810819","65.5800225804","0.000","1.000"
"2024","873","12.6970064726","198.9772285370","1669.1455755700","0.000","1.000"
"2025","874","16.4993504439","63.0763006252","173.6681037870","0.000","1.000"
"2026","875","19.5090963353","57.5584446632","286.4325225120","0.000","1.000"
"2027","876","19.9969648508","33.7537064553","35.0158821257","0.000","1.000"
"2028","877","19.4800826634","51.9567951729","134.4646098080","0.000","1.000"
"2029","878","20.0024111562","40.8953723357","118.1861917290","0.000","1.000"
"2030","879","20.0236041498","42.8012087687","73.9862907075","0.000","1.000"
"2031","880","19.9820792040","34.1240190764","34.9907346026","0.000","1.000"
"2032","881","19.8683192212","203.1318477410","900.5920341240","0.000","1.000"
"2033","882","34.9600044704","60.4135505240","132.4501562690","0.000","1.000"
"2034","883","19.6253183447","81.9339458851","452.6005893140","0.000","1.000"
"2035","884","19.9697854223","34.0285936888","35.3567210432","0.000","1.000"
"2036","885","19.9751326689","77.4098423668","433.9131030320","0.000","1.000"
"2037","886","34.9090184554","89.6126656321","458.0941736230","0.000","1.000"
"2038","887","19.9771080499","96.5193974161","283.2081505570","0.000","1.000"
"2039","888","20.5995302010","40.4139791338","93.5111237236","0.000","1.000"
"2040","889","19.9457493527","76.7442251368","244.8621656890","0.000","1.000"
"2041","890","19.9655357438","41.2234550040","147.5748113080","0.000","1.000"
"2042","891","19.9680204444","661.8977118110","6138.4116836600","0.000","1.000"
"2043","892","19.9900686088","31.7252313472","34.9569446658","0.000","1.000"
"2044","893","18.8951835775","28.6070091489","49.3462407178","0.000","1.000"
"2045","894","19.9908970981","41.2206565691","131.6134804730","0.000","1.000"
"2046","895","20.5857555960","210.4153600770","898.6539902140","0.000","1.000"
"2047","896","19.5831224133","4835.4657796800","48090.8292178000","0.000","1.000"
"2048","897","19.9651102633","28.1628283830","42.0976078815","0.000","1.000"
"2049","898","19.9654788190","52.6715134192","125.1259436090","0.000","1.000"
"2050","899","15.4934131738","34.5688847644","41.9747316892","0.000","1.000"
"2051","900","26.5429955146","36.6719702938","35.0498835004","0.000","1.000"
"2052","901","19.9687086925","31.1297711152","35.8149036456","0.000","1.000"
"2053","902","19.9769759720","87.1463227634","479.3056145020","0.000","1.000"
"2054","903","19.9656283071","102.3068282010","332.7079018950","0.000","1.000"
"2055","904","19.9527841395","30.8947024034","34.9799982558","0.000","1.000"
"2056","905","19.9655084437","166.9483306620","1111.6418153000","0.000","1.000"
"2057","906","19.9655039517","74.5473157634","358.4966083830","0.000","1.000"
"2058","907","19.9687119031","30.4122899125","38.3862619527","0.000","1.000"
"2059","908","20.3695934427","359.5761320700","3286.3938824300","0.000","1.000"
"2060","909","19.9655815852","36.7619749318","53.4676809726","0.000","1.000"
"2061","910","19.9506432827","35.5843944938","35.0445898985","0.000","1.000"
"2062","911","19.9697350125","42.1462775833","107.0051003710","0.000","1.000"
"2063","912","19.9940599314","48.6385947440","128.4871155900","0.000","1.000"
"2064","913","19.9695635644","69.2940394085","150.4225958790","0.000","1.000"
"2065","914","19.9655152541","112.2927864060","361.3583700290","0.000","1.000"
"2066","915","20.0564811547","45.4251415670","120.8288156020","0.000","1.000"
"2067","916","19.9844004533","58.1489209276","253.2928233700","0.000","1.000"
"2068","917","19.9655029664","33.5039310281","38.6496269370","0.000","1.000"
"2069","918","16.0475959001","34.8138478736","37.2198972708","0.000","1.000"
"2070","919","2.6632665311","33.2706335498","34.9891633553","0.000","1.000"
