"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"1","0","19.5491561637","34.9425825861","46.7677380493","0.500","0.500"
"2","1","19.4709374840","110.6807991520","410.9274579860","0.500","0.500"
"3","2","19.4722802574","203.0944959800","1214.3400845700","0.507","0.493"
"4","3","19.4706022789","126.8661068630","603.4152469130","0.514","0.486"
"5","4","16.6886815813","119.1287205600","971.5299256360","0.521","0.479"
"6","5","16.6887916887","61.1300078010","287.9972238870","0.513","0.487"
"7","6","16.6880170305","27.6569965251","49.1824549501","0.506","0.494"
"8","7","16.6881774309","39.1997435106","113.3864079060","0.500","0.500"
"9","8","16.1040353869","27.1913249425","34.9636177800","0.494","0.506"
"10","9","16.1035673693","259.2662451240","2215.9612840000","0.497","0.503"
"11","10","16.0827643324","24.6198596490","34.9635216965","0.505","0.495"
"12","11","16.0581008796","718.0256799950","5185.0362978400","0.500","0.500"
"13","12","15.9953923014","68.3016856673","308.7246062470","0.508","0.492"
"14","13","15.9937760904","248.9534759230","2258.1579565400","0.501","0.499"
"15","14","15.9934035318","34.7487247701","98.0864006667","0.509","0.491"
"16","15","11.8872843793","192.7896800430","1506.2252636200","0.515","0.485"
"17","16","11.8872809613","48.8914354328","219.5357851910","0.523","0.477"
"18","17","11.8872831586","379.8297347430","2779.0385842300","0.516","0.484"
"19","18","11.8872829145","70.0496554144","474.5610629540","0.524","0.476"
"20","19","11.8872860883","24.8219235602","35.0338081689","0.516","0.484"
"21","20","3.6372695532","23.5340085848","61.2450849453","0.519","0.481"
"22","21","3.6372727270","219.8231043260","769.8258541030","0.514","0.486"
"23","22","3.6372749243","42.3493035144","202.6215808730","0.508","0.492"
"24","23","3.6372710180","61.2415949340","240.6711218410","0.500","0.500"
"25","24","3.6374277563","57.2743393976","385.4110317470","0.507","0.493"
"26","25","3.6372683325","24.4877148316","92.5947117393","0.515","0.485"
"27","26","3.6372727270","25.2170507614","54.1083480642","0.521","0.479"
"28","27","3.6372676001","127.7172911110","976.4542564240","0.526","0.474"
"29","28","2.1177736986","15.6608363159","34.9633445066","0.534","0.466"
"30","29","2.1177722337","13.6975450782","29.4623159559","0.539","0.461"
"31","30","2.1177715013","18.2397682054","46.9782424822","0.544","0.456"
"32","31","2.1177473314","17.9712491884","28.9620281141","0.549","0.451"
"33","32","2.1177707689","20.3158774100","33.8646055081","0.552","0.448"
"34","33","2.1177697923","16.0223671946","26.9616096571","0.549","0.451"
"35","34","2.1177697923","19.8483841666","44.4560866448","0.552","0.448"
"36","35","2.1177695482","39.8193762983","168.7551870920","0.557","0.443"
"37","36","2.1177715013","44.0936005687","272.2814015000","0.564","0.436"
"38","37","2.1177697923","16.0444566464","22.6732359923","0.571","0.429"
"39","38","2.1174563158","35.6692915889","187.5894410040","0.573","0.427"
