"ID","generation_number","highest_fitness","average_fitness","lowest_fitness","crossover_probability","mutation_probability"
"1","0","20.9609612536","59.4309668824","140.8921752780","0.800","0.200"
"2","1","20.4607314646","26.3773612226","34.9617546469","0.800","0.200"
"3","2","19.9606561166","23.6788001483","28.1574975299","0.800","0.200"
"4","3","19.9585745737","22.4574323817","21.4655260207","0.800","0.200"
"5","4","19.9600308725","64.7833429328","268.1921696880","0.800","0.200"
"6","5","19.9596014291","22.6578152583","23.4622344979","0.800","0.200"
"7","6","19.9516941297","22.8874760447","24.4609394910","0.800","0.200"
"8","7","19.9516929090","23.5040687958","29.9618040516","0.800","0.200"
"9","8","19.9517439344","22.1545126175","21.4418867751","0.800","0.200"
"10","9","14.2389387415","21.5829168290","21.9618130262","0.800","0.200"
"11","10","14.2389482630","20.8033393009","19.9593025282","0.800","0.200"
"12","11","12.6774122371","19.6079713115","20.9603103538","0.800","0.200"
"13","12","12.6773924617","18.7244626573","20.9607505080","0.800","0.200"
"14","13","12.6773909969","18.8430703007","25.4617585830","0.800","0.200"
"15","14","12.6773927059","18.3124549421","19.9654186868","0.800","0.200"
"16","15","11.3749720518","17.7300173444","21.4654176669","0.800","0.200"
"17","16","6.2256342569","17.0833017088","24.9654116987","0.800","0.200"
"18","17","5.0560486494","26.9291460028","86.5736379710","0.800","0.200"
"19","18","5.0559766279","15.4798530986","32.4610594370","0.800","0.200"
"20","19","4.6817183822","20.0028721814","110.3630968190","0.800","0.200"
"21","20","4.6817159408","7.3985187587","21.4605349500","0.800","0.200"
"22","21","4.1293464398","15.7850050598","26.4621216200","0.800","0.200"
"23","22","4.1293400921","12.1315103391","22.9619110070","0.800","0.200"
"24","23","4.1293410687","7.0162819951","19.9654195714","0.800","0.200"
"25","24","4.1293374066","17.6541398199","71.7138507836","0.800","0.200"
"26","25","4.1293391155","7.9420248007","23.9601779005","0.800","0.200"
"27","26","4.1293371624","11.8256701136","23.9643301792","0.800","0.200"
"28","27","4.0960822796","13.8379985570","40.7680385519","0.800","0.200"
"29","28","4.1293381390","13.3905937774","24.9646297339","0.800","0.200"
"30","29","4.1293391155","10.2938255650","19.9654343641","0.800","0.200"
"31","30","4.1293374066","10.0143878371","28.0420711500","0.800","0.200"
"32","31","4.1293137249","14.4047362476","63.2301946762","0.800","0.200"
"33","32","4.1293205609","8.3572117251","20.4607424755","0.800","0.200"
"34","33","4.1293413128","9.4380719876","21.4614324422","0.800","0.200"
"35","34","4.1293122601","11.7261591038","22.9654208429","0.800","0.200"
"36","35","4.1293413128","10.7735140268","22.4608569715","0.800","0.200"
"37","36","4.1293076214","15.0189306145","27.9630845103","0.800","0.200"
"38","37","4.1293278851","11.0664451910","24.4608983142","0.800","0.200"
"39","38","4.0961840863","14.3560506032","24.4612611855","0.800","0.200"
"40","39","4.1293439984","15.3917455499","24.9608315810","0.800","0.200"
"41","40","4.1293398480","30.7337820897","106.6294719360","0.800","0.200"
"42","41","4.1293408245","24.9285178318","89.7770407928","0.800","0.200"
"43","42","3.2961528585","27.7259389166","152.2215952270","0.800","0.200"
"44","43","3.2961521260","19.0343775255","41.2023125815","0.800","0.200"
"45","44","3.2961213643","22.9222827608","87.3895336533","0.800","0.200"
"46","45","3.2961455342","9.4132679078","24.4654136338","0.800","0.200"
"47","46","3.2961411397","15.9887841690","59.3347348831","0.800","0.200"
"48","47","3.2961035421","10.5397007218","22.4608194365","0.800","0.200"
"49","48","3.2961311300","14.6261928631","63.2781239423","0.800","0.200"
"50","49","3.1320130053","10.6753973699","22.9602455102","0.800","0.200"
"51","50","3.1320130053","9.6237540558","24.4631729407","0.800","0.200"
"52","51","3.1320149584","5.6456272473","19.7865831771","0.800","0.200"
"53","52","3.1320112963","8.5110106479","19.9654311903","0.800","0.200"
"54","53","3.1319863939","6.6162227082","20.9593774051","0.800","0.200"
"55","54","3.1319966478","9.1441646223","24.4600618800","0.800","0.200"
"56","55","3.1320027514","13.6843979846","23.9592740034","0.800","0.200"
"57","56","3.1320154467","15.0719276503","22.9611750866","0.800","0.200"
"58","57","3.1320137377","14.6610290564","21.4597546774","0.800","0.200"
